Kod;Produktgrupp;Artikelnr;RSK-nr;Benämning;Rabatt;Rabatt2;NtoPris;ArtRabatt
V;312500;;;Skarvar/Genomföringar Phönix;33,67;;;;
V;312600;;;Snabbkoppling  Rutab;42,55;;;;
V;312994;;;Solar Netto;50,00;;;;
V;313100;;;Ljusreglering Exxact H1 =S= I;53,98;;;;
V;313102;;;Ljusreglering Exxact H1 =S= II;54,91;;;;
V;313104;;;Ljusreglering Exxact H1 =S= III;55,55;;;;
V;313108;;;Tbh ljusreglering Exxact H1 =S=;57,55;;;;
V;313112;;;Ljusreglering universal H1 =S=;53,28;;;;
V;313114;;;Ljusreglering Trend HD =S= II;55,71;;;;
V;313118;;;Ljusreglering Renova H1 =S= I;55,82;;;;
V;313120;;;Ljusreglering Renova H1 =S= II;61,63;;;;
V;313126;;;Ljusreglering Multi Acti9 SA =S=;59,18;;;;
V;313130;;;Rörelse- & närvaro Exxact H1 =S;56,76;;;;
V;313134;;;Rörelse- & närvarodetektor övriga HD =S=;61,63;;;;
V;313138;;;Ljusreglering Wiser light H5 =S=;28,57;;;;
V;313140;;;Ljusrelä Argus HD =S=;61,63;;;;
V;313142;;;Ljusrelä Multi Acti9 SA =S=O;57,20;;;;
V;313144;;;Trappautomat Multi Acti9 SA =S=O;65,88;;;;
V;313150;;;Rörelse & närvaro Exxact & Renova H1 =S=;60,31;;;;
V;313152;;;Rörelse & närvarodetektor Argus HA =S=;61,84;;;;
V;313160;;;Kopplingsur Acti9 SA =S=;59,39;;;;
V;313162;;;Kopplingsur KNX 5A =S=O;47,02;;;;
V;313200;;;Dimmer RS 49 Elko;58,27;;;;
V;313201;;;Ljusreglering RS Svart 58 Elko;40,43;;;;
V;313202;;;Elektronik PIR RS 49 Elko;62,35;;;;
V;313204;;;Dimmer RS 49 Elko;58,67;;;;
V;313206;;;Dimmer 52 Elko;58,67;;;;
V;313210;;;Dimmer Plus 44 Elko;58,78;;;;
V;313212;;;Dimmer Plus X 56 Elko;60,10;;;;
V;313214;;;Dimmer Plus Tillbehör 43 Elko;61,22;;;;
V;313220;;;Elektronik PIR Plus 44 Elko;62,45;;;;
